Date Time,Primary MAC Address,Manufacturer,Used % - Flash,Used % - RAM,Uptime,CPU %,AP Agent CPU,AP Agent Mem,Reboot Event,TX 2.4 MCS 0,TX 2.4 MCS 1,TX 2.4 MCS 2,TX 2.4 MCS 3,TX 2.4 MCS 4,TX 2.4 MCS 5,TX 2.4 MCS 6,TX 2.4 MCS 7,TX 2.4 MCS 8,TX 2.4 MCS 9,TX 2.4 MCS 10,TX 2.4 MCS 11,TX 2.4 MCS 12,TX 2.4 MCS 13,TX 2.4 MCS 14,TX 2.4 MCS 15,TX 2.4 MCS 16,TX 2.4 MCS 17,TX 2.4 MCS 18,TX 2.4 MCS 19,TX 2.4 MCS 20,TX 2.4 MCS 21,TX 2.4 MCS 22,TX 2.4 MCS 23,TX 5 MCS 0,TX 5 MCS 1,TX 5 MCS 2,TX 5 MCS 3,TX 5 MCS 4,TX 5 MCS 5,TX 5 MCS 6,TX 5 MCS 7,TX 5 MCS 8,TX 5 MCS 9,TX 5 NSS 1x1,TX 5 NSS 2x2,TX 5 NSS 3x3,TX 5 BW 20MHz,TX 5 BW 40MHz,TX 5 BW 80MHz,RX 5 MCS 0,RX 5 MCS 1,RX 5 MCS 2,RX 5 MCS 3,RX 5 MCS 4,RX 5 MCS 5,RX 5 MCS 6,RX 5 MCS 7,RX 5 MCS 8,RX 5 MCS 9,RX 5 NSS 1x1,RX 5 NSS 2x2,RX 5 NSS 3x3,RX 5 NSS 4x4,RX 5 BW 20MHz,RX 5 BW 40MHz,RX 5 BW 80MHz,
2019-03-06 00:06:44,04:bf:6d:5e:11:7f,ZyXEL_EMG2926,29,7,161.96,10,0,2,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019-03-06 00:21:45,04:bf:6d:5e:11:7f,ZyXEL_EMG2926,29,7,161.97,64,0,2,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019-03-06 00:36:44,04:bf:6d:5e:11:7f,ZyXEL_EMG2926,29,7,161.98,19,0,2,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019-03-06 00:51:44,04:bf:6d:5e:11:7f,ZyXEL_EMG2926,29,7,161.99,42,0,2,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019-03-06 00:07:12,04:bf:6d:5e:11:87,ZyXEL_EMG2926,22,5,24.64,10,0,2,--,0,554831,743290,670371,1352775,5094794,1417787,177387,0,0,0,613737,2452429,4481382,906975,148062,0,0,0,0,0,0,0,0,13118,970,1095,1114,2247,8466,30923,189941,215006,208829,18528,653181,0,14308,10827,646574,620,1117,1716,2322,14130,17756,132016,483983,219497,127911,26296,973050,1722,0,917,937,999214,
2019-03-06 00:22:13,04:bf:6d:5e:11:87,ZyXEL_EMG2926,24,5,24.65,19,0,2,--,0,554831,743290,670371,1352775,5094794,1417787,177387,0,0,0,613737,2452429,4481382,906975,148062,0,0,0,0,0,0,0,0,13118,970,1095,1114,2247,8466,30923,189941,215006,208829,18528,653181,0,14308,10827,646574,620,1117,1716,2322,14130,17756,132016,483983,219497,127911,26296,973050,1722,0,917,937,999214,
2019-03-06 00:37:13,04:bf:6d:5e:11:87,ZyXEL_EMG2926,22,5,24.66,28,0,2,--,0,554831,743290,670371,1352775,5094794,1417787,177387,0,0,0,613737,2452429,4481382,906975,148062,0,0,0,0,0,0,0,0,13118,970,1095,1114,2247,8466,30923,189941,215006,208829,18528,653181,0,14308,10827,646574,620,1117,1716,2322,14130,17756,132016,483983,219497,127911,26296,973050,1722,0,917,937,999214,
2019-03-06 00:52:13,04:bf:6d:5e:11:87,ZyXEL_EMG2926,24,5,24.67,10,0,2,--,0,554831,743290,670371,1352775,5094794,1417787,177387,0,0,0,613737,2452429,4481382,906975,148062,0,0,0,0,0,0,0,0,13118,970,1095,1114,2247,8466,30923,189941,215006,208829,18528,653181,0,14308,10827,646574,620,1117,1716,2322,14130,17756,132016,483983,219497,127911,26296,973050,1722,0,917,937,999214,
2019-03-06 00:01:11,04:bf:6d:5e:11:8f,ZyXEL_EMG2926,29,7,72.31,10,0,2,--,0,269217,435249,487208,1200322,3030611,2105096,3917080,0,0,0,422,5217,2736,1388,4697,0,0,0,0,0,0,0,0,47779,8121,8242,5408,158300,1158118,2218988,5426797,9041828,9844197,6709039,21208739,0,7890515,202874,19824389,4579,28679,74355,252672,1213543,1320474,3472643,6630174,5188952,4885498,7672080,15363221,36268,0,2099560,21771,20950238,
2019-03-06 00:16:12,04:bf:6d:5e:11:8f,ZyXEL_EMG2926,29,7,72.32,19,0,2,--,0,269217,435249,487208,1200322,3030611,2105096,3917080,0,0,0,422,5217,2736,1388,4697,0,0,0,0,0,0,0,0,47779,8121,8242,5408,158304,1163241,2227498,5433175,9051353,9851427,6709077,21245471,0,7914809,203004,19836735,4584,28685,74406,252775,1213949,1321105,3474442,6633366,5196015,4887031,7674302,15375754,36302,0,2104400,21777,20960181,
