Mac Address,Latitude,Longitude,Altitude,
b8:ec:a3:2f:be:03,45.49311205,-73.56329481,4.0,
b8:ec:a3:2f:bd:ff,45.49312427,-73.56331895,0.0,
b8:ec:a3:2f:bd:fb,45.492985,-73.562685,4.0,
b8:ec:a3:2f:bd:f7,45.493042,-73.562811,0.0,
b8:ec:a3:2f:bd:f3,45.492785,-73.562827,4.0,
b8:ec:a3:2f:bd:ef,45.49301922,-73.56277144,4.0,
b8:ec:a3:2f:bd:eb,45.49289301,-73.56274764,4.0,
b8:ec:a3:2f:bd:e3,45.49320606,-73.5632291,3.0,
b8:ec:a3:2f:bd:df,45.492984,-73.562992,3.0,
b8:ec:a3:2f:bd:8b,45.49299313,-73.56266181,3.0,
b8:ec:a3:2f:bd:87,45.49286386,-73.56276105,3.0,
b8:ec:a3:2f:bd:83,45.49317692,-73.5631674,2.0,
b8:ec:a3:2f:bd:7f,45.49322204,-73.56323513,2.0,
b8:ec:a3:2f:bd:7b,45.49312709,-73.56304671,2.0,
b8:ec:a3:2f:bd:77,45.4932352,-73.56333504,2.0,
b8:ec:a3:2f:bd:73,45.493103,-73.563271,2.0,
b8:ec:a3:2f:bd:6f,45.49304624,-73.56284286,2.0,
b8:ec:a3:2f:bd:6b,45.49299407,-73.56266851,2.0,
b8:ec:a3:2f:bd:67,45.49295458,-73.56292265,2.0,
b8:ec:a3:2f:bd:63,45.49323708,-73.56332431,0.0,
b8:ec:a3:2f:bd:5f,45.493209,-73.563229,1.0,
b8:ec:a3:2f:bd:5b,45.49298608,-73.56268192,1.0,
b8:ec:a3:2f:bd:57,45.49315718,-73.56311108,1.0,
b8:ec:a3:2f:bd:53,45.49299125,-73.56266181,1.0,
b8:ec:a3:2f:bd:4f,45.49292967,-73.56272216,1.0,
b8:ec:a3:2f:bd:4b,45.49287138,-73.56275703,1.0,
b8:ec:a3:2f:bd:47,45.49314401,-73.56308157,0.0,
b8:ec:a3:2f:bd:43,45.49297856,-73.56268058,0.0,
b8:ec:a3:2f:bd:3f,45.49292779,-73.56271411,0.0,
b8:ec:a3:2f:bd:3b,45.4932352,-73.56328676,4.0,
b8:ec:a3:2f:bd:37,45.492988,-73.562673,4.0,
b8:ec:a3:2f:bd:33,45.49320794,-73.5632291,4.0,
b8:ec:a3:2f:bd:2f,45.49308573,-73.56292466,4.0,
b8:ec:a3:2f:bd:2b,45.49306317,-73.56318216,4.0,
b8:ec:a3:2f:bd:27,45.49313743,-73.56305073,4.0,
b8:ec:a3:2f:bd:23,45.493045,-73.56282,4.0,
b8:ec:a3:2f:bd:1f,45.49300911,-73.5627121,2.0,
b8:ec:a3:2f:bd:1b,45.49293061,-73.56271679,2.0,
b8:ec:a3:2f:bd:17,45.49295082,-73.56291159,0.0,
a0:e4:cb:fc:b4:ef,45.49298044,-73.56298233,4.0,
04:bf:6d:5e:26:8b,45.49302879,-73.56276508,4.0,
04:bf:6d:5e:26:83,45.49308285,-73.56293406,4.0,
04:bf:6d:5e:26:7f,45.49303584,-73.56280934,4.0,
04:bf:6d:5e:26:7b,45.49308332,-73.5632452,4.0,
04:bf:6d:5e:26:77,45.49308473,-73.56294747,4.0,
04:bf:6d:5e:26:73,45.49309742,-73.56328074,4.0,
04:bf:6d:5e:26:6f,45.468,-73.56332,4.0,
04:bf:6d:5e:26:6b,45.49279329,-73.56282141,4.0,
04:bf:6d:5e:26:67,45.49298319,-73.56265444,4.0,
04:bf:6d:5e:12:b3,45.493014,-73.562725,4.0,
04:bf:6d:5e:12:af,45.49308285,-73.56293406,4.0,
04:bf:6d:5e:12:ab,45.49303584,-73.56280934,4.0,
04:bf:6d:5e:12:a3,45.49306877,-73.56321605,4.0,
04:bf:6d:5e:12:9b,45.4932352,-73.56328676,4.0,
04:bf:6d:5e:12:8f,45.49289858,-73.56273424,4.0,
04:bf:6d:5e:12:8b,45.49296817,-73.56295888,4.0,
04:bf:6d:5e:12:87,45.49280457,-73.56281336,4.0,
04:bf:6d:5e:12:83,45.4932201,-73.5632747,4.0,
04:bf:6d:5e:12:7f,45.49302269,-73.56276231,4.0,
04:bf:6d:5e:12:7b,45.49303898,-73.56282744,4.0,
04:bf:6d:5e:12:77,45.49301428,-73.56272484,4.0,
04:bf:6d:5e:12:73,45.49298796,-73.56267254,4.0,
04:bf:6d:5e:12:67,45.4930815,-73.56291796,3.0,
04:bf:6d:5e:11:9b,45.49302174,-73.56308158,3.0,
04:bf:6d:5e:11:97,45.49311904,-73.56300849,2.0,
04:bf:6d:5e:11:93,45.49305464,-73.56316607,2.0,
04:bf:6d:5e:11:8f,45.49298789,-73.56300514,2.0,
04:bf:6d:5e:11:8b,45.49275052,-73.56282878,2.0,
04:bf:6d:5e:11:87,45.468,-73.672,0.0,
04:bf:6d:5e:11:83,45.49300153,-73.56271077,0.0,
04:bf:6d:5e:11:7f,45.49275757,-73.56283348,0.0,
04:bf:6d:5e:11:7b,45.49458136,-73.56183704,2.0,
04:bf:6d:5e:11:77,45.493057,-73.562953,0.0,
