primMac,mac,bssid,dualband,type,upTime,createTime,lastSeen2GTime,lastSeen5GTime,capBits,zoneSet,staName,state,whiteTime,bw,stream,band,htMode,perf2G-health,perf2G-txRateRma,perf2G-ulRma,perf2G-ul,perf2G-rssiRma,perf2G-dl,perf2G-dlRma,perf2G-txRate,perf2G-rssi,perf5G-health,perf5G-txRateRma,perf5G-ulRma,perf5G-ul,perf5G-rssiRma,perf5G-dl,perf5G-dlRma,perf5G-txRate,perf5G-rssi,
04:bf:6d:5e:26:6f,c8:f7:33:ec:36:eb,04:bf:6d:5e:26:6d,1,0,1551360211305,1551360211307,0,-1,0,Z_347_311_3,YassineBouhlel,0,0,40,2,2,11NA_HT40,, , , , , , , , ,0,258,190024,23424,-51,16472,260151,300,-54,
04:bf:6d:5e:26:6f,44:91:60:5d:b8:55,04:bf:6d:5e:26:6d,1,0,1551360811293,1551321571293,1551304771048,-1,524288,Z_347_311_3,Galaxy-S9,0,0,80,2,2,11AC_VHT80,2,3,0,0,-79,0,0,1,-79,0,634,43735,0,-38,0,223227,108,-68,
b8:ec:a3:2f:bd:17,8c:85:90:a4:98:c5,b8:ec:a3:2f:bd:15,1,0,1551384241202,1551382321202,0,-1,0,Z_347_283_0,MBP-de-Florian,0,0,80,3,2,11AC_VHT80,, , , , , , , , ,0,791,232731,0,-46,0,193374,650,-59,
04:bf:6d:5e:12:9b,64:fb:81:03:ec:f7,04:bf:6d:5e:12:98,0,0,1551395161221,1538192652391,1551395136664,0,0,Z_347_283_3,android-eb77ed40d8621a41,0,1551396947892,20,1,1,11NG_HT20,0,15,908,1112,-33,2168,12485,40,-66,, , , , , , , , ,
04:bf:6d:5e:11:7b,38:59:f9:30:60:fc,04:bf:6d:5e:11:78,0,0,1551399451271,1537314451651,1551399447097,0,0,Z_348_281_0,Home-PC,0,0,20,2,1,11NG_HT20,0,77,8071,1792,-26,2008,60966,130,-61,, , , , , , , , ,
b8:ec:a3:2f:bd:f3,d4:a3:3d:bf:ea:3b,b8:ec:a3:2f:bd:f1,1,0,1551414451252,1551402811245,1550615143693,-1,524288,Z_347_283_3,iPhone-de-James,0,0,80,2,2,11AC_VHT80,1,12,20036,15184,-48,53856,52649,1,-52,0,674,95817,0,-42,0,254014,108,-75,
b8:ec:a3:2f:bd:f3,68:ab:1e:5a:ae:36,b8:ec:a3:2f:bd:f0,0,0,1551414451252,1541729256073,1551414446758,0,524288,Z_347_283_3,AppleWahdeJames,0,0,20,1,1,11NG_HT20,0,5,219,0,-37,0,38,64,-58,, , , , , , , , ,
b8:ec:a3:2f:bd:f3,98:9e:63:28:d0:3c,b8:ec:a3:2f:bd:f1,1,0,1551416371253,1551403411246,1548904774828,-1,0,Z_347_283_3,iMac,0,0,80,3,2,11AC_VHT80,0,79,28403,0,-31,0,1151532,93,-22,0,1238,351936,0,-35,48,1768353,1300,-45,
b8:ec:a3:2f:bd:67,00:27:10:e7:de:b4,b8:ec:a3:2f:bd:65,1,0,1551422761285,1551418201281,1546486276933,-1,0,Z_347_283_0,info-PC,0,0,40,2,2,11NA_HT40,0,81,33301,0,-43,0,530016,122,-41,0,213,39859,27696,-30,5024,66263,189,-57,
04:bf:6d:5e:11:7b,84:89:ad:60:db:ae,04:bf:6d:5e:11:79,1,0,1551450571267,1551445891270,0,-1,524288,Z_348_281_0,iPad,0,0,80,2,2,11AC_VHT80,, , , , , , , , ,0,620,41723,24,-55,136,51919,650,-61,
