Client MAC Address, Source AP, Source AP Band, Target AP, Target AP Band, Source SS, Target SS, Steering Type, Steering Status, Steering Time, Update Time, LocalTime, Time Zone
c0:ee:fb:dd:2f:ed,04:bf:6d:5e:12:99,5G,,,-80,,LOW Signal Strength,Not Moved,1551879197,1551879377,06-03-2019 08:36:17,America/New_York
c0:ee:fb:dd:2f:ed,04:bf:6d:5e:12:99,5G,,,-86,,LOW Signal Strength,Missing,1551879407,1551879647,06-03-2019 08:40:47,America/New_York
c0:ee:fb:dd:2f:ed,b8:ec:a3:2f:bd:39,5G,b8:ec:a3:2f:bd:38,2.4G,-75,-62,LOW Signal Strength,Success,1551898157,1551898337,06-03-2019 13:52:17,America/New_York
c0:ee:fb:dd:2f:ed,b8:ec:a3:2f:bd:39,5G,b8:ec:a3:2f:bd:38,2.4G,-75,-64,LOW Signal Strength,Success,1551898367,1551898547,06-03-2019 13:55:47,America/New_York
c0:ee:fb:dd:2f:ed,b8:ec:a3:2f:bd:38,2.4G,b8:ec:a3:2f:bd:39,5G,-61,-73,5G PREFERENCE,Success,1551898587,1551898787,06-03-2019 13:59:47,America/New_York
c0:ee:fb:dd:2f:ed,b8:ec:a3:2f:bd:39,5G,b8:ec:a3:2f:bd:38,2.4G,-75,-61,LOW Signal Strength,Success,1551899087,1551899267,06-03-2019 14:07:47,America/New_York
c0:ee:fb:dd:2f:ed,b8:ec:a3:2f:bd:39,5G,b8:ec:a3:2f:bd:38,2.4G,-75,-63,LOW Signal Strength,Success,1551899267,1551899447,06-03-2019 14:10:47,America/New_York
fc:c2:de:94:56:d9,04:bf:6d:5e:26:65,5G,,,-82,,LOW Signal Strength,Not Moved,1551879047,1551879227,06-03-2019 08:33:47,America/New_York
fc:c2:de:94:56:d9,04:bf:6d:5e:26:65,5G,,,-84,,LOW Signal Strength,Missing,1551879257,1551879497,06-03-2019 08:38:17,America/New_York
fc:c2:de:94:56:d9,04:bf:6d:5e:26:65,5G,,,-78,,LOW Signal Strength,Missing,1551895157,1551895397,06-03-2019 13:03:17,America/New_York
fc:c2:de:94:56:d9,04:bf:6d:5e:26:64,2.4G,04:bf:6d:5e:26:65,5G,-34,-51,5G PREFERENCE,Success,1551907827,1551908027,06-03-2019 16:33:47,America/New_York
fc:c2:de:94:56:d9,04:bf:6d:5e:26:64,2.4G,04:bf:6d:5e:26:65,5G,-40,-60,5G PREFERENCE,Success,1551924327,1551924527,06-03-2019 21:08:47,America/New_York
fc:c2:de:94:56:d9,04:bf:6d:5e:26:64,2.4G,04:bf:6d:5e:26:65,5G,-36,-51,5G PREFERENCE,Success,1551928887,1551929087,06-03-2019 22:24:47,America/New_York
c0:a6:00:02:f4:31,04:bf:6d:5e:11:8d,5G,,,-75,,LOW Signal Strength,Not Moved,1551876317,1551876497,06-03-2019 07:48:17,America/New_York
c0:a6:00:02:f4:31,04:bf:6d:5e:11:8d,5G,,,-77,,LOW Signal Strength,Not Moved,1551876497,1551876677,06-03-2019 07:51:17,America/New_York
c0:a6:00:02:f4:31,04:bf:6d:5e:11:8d,5G,04:bf:6d:5e:11:8c,2.4G,-75,-57,LOW Signal Strength,Success,1551930647,1551930827,06-03-2019 22:53:47,America/New_York
c0:a6:00:02:f4:31,04:bf:6d:5e:11:8d,5G,,,-75,,LOW Signal Strength,Not Moved,1551930827,1551931007,06-03-2019 22:56:47,America/New_York
c0:bd:d1:7e:1a:7e,a0:e4:cb:fc:b4:ec,2.4G,a0:e4:cb:fc:b4:ed,5G,-34,-59,5G PREFERENCE,Success,1551858597,1551858797,06-03-2019 02:53:17,America/New_York
e4:f0:42:a5:85:38,04:bf:6d:5e:12:8d,5G,04:bf:6d:5e:12:8c,2.4G,-75,-59,LOW Signal Strength,Success,1551922937,1551923117,06-03-2019 20:45:17,America/New_York
e4:f0:42:a5:85:38,04:bf:6d:5e:12:8c,2.4G,04:bf:6d:5e:12:8d,5G,-59,-72,5G PREFERENCE,Success,1551923127,1551923327,06-03-2019 20:48:47,America/New_York
e4:f0:42:a5:85:38,04:bf:6d:5e:12:8d,5G,04:bf:6d:5e:12:8c,2.4G,-75,-56,LOW Signal Strength,Success,1551923717,1551923897,06-03-2019 20:58:17,America/New_York
d0:d2:b0:4e:d9:8d,04:bf:6d:5e:26:69,5G,,,-76,,LOW Signal Strength,Not Moved,1551870617,1551870797,06-03-2019 06:13:17,America/New_York
d0:d2:b0:4e:d9:8d,04:bf:6d:5e:26:69,5G,,,-78,,LOW Signal Strength,Not Moved,1551870797,1551870977,06-03-2019 06:16:17,America/New_York
d0:d2:b0:4e:d9:8d,04:bf:6d:5e:26:69,5G,04:bf:6d:5e:26:68,2.4G,-75,-65,LOW Signal Strength,Success,1551910577,1551910757,06-03-2019 17:19:17,America/New_York
d0:d2:b0:4e:d9:8d,04:bf:6d:5e:26:69,5G,04:bf:6d:5e:26:68,2.4G,-76,-65,LOW Signal Strength,Success,1551910757,1551910937,06-03-2019 17:22:17,America/New_York
d0:d2:b0:4e:d9:8d,04:bf:6d:5e:26:69,5G,,,-75,,LOW Signal Strength,Not Moved,1551918407,1551918587,06-03-2019 19:29:47,America/New_York
