Event Log

MAC Address,Prim. MAC Address,Channel,Type,Module (from),Module (to),Message,Time stamp
04:bf:6d:5e:26:64,04:bf:6d:5e:26:67,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""04:bf:6d:5e:26:65"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[fc:c2:de:94:56:d9], frequencySetBy=10}",2019-03-07 03:30
04:bf:6d:5e:12:64,04:bf:6d:5e:12:67,1 (2412 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""04:bf:6d:5e:12:65"" , ""channel"" : 161 , ""bandwidth"" : 80}], deassociateStaList=[58:82:a8:64:a7:f1], frequencySetBy=10}",2019-03-07 01:17
a0:e4:cb:fc:b4:ec,a0:e4:cb:fc:b4:ef,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""a0:e4:cb:fc:b4:ed"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[c0:bd:d1:7e:1a:7e], frequencySetBy=10}",2019-03-06 23:59
04:bf:6d:5e:26:64,04:bf:6d:5e:26:67,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""04:bf:6d:5e:26:65"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[fc:c2:de:94:56:d9], frequencySetBy=10}",2019-03-06 22:21
a0:e4:cb:fc:b4:ec,a0:e4:cb:fc:b4:ef,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""a0:e4:cb:fc:b4:ed"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[34:12:f9:e8:4d:da], frequencySetBy=10}",2019-03-06 22:10
b8:ec:a3:2f:bd:dc,b8:ec:a3:2f:bd:df,11 (2462 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:dd"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[60:30:d4:3d:2a:73], frequencySetBy=10}",2019-03-06 21:12
04:bf:6d:5e:26:68,04:bf:6d:5e:26:6b,11 (2462 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""04:bf:6d:5e:26:69"" , ""channel"" : 157 , ""bandwidth"" : 80}], deassociateStaList=[d0:d2:b0:4e:d9:8d], frequencySetBy=10}",2019-03-06 21:10
04:bf:6d:5e:26:64,04:bf:6d:5e:26:67,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""04:bf:6d:5e:26:65"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[fc:c2:de:94:56:d9], frequencySetBy=10}",2019-03-06 21:05
a0:e4:cb:fc:b4:ec,a0:e4:cb:fc:b4:ef,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""a0:e4:cb:fc:b4:ed"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[34:12:f9:e8:4d:da], frequencySetBy=10}",2019-03-06 20:57
04:bf:6d:5e:12:8c,04:bf:6d:5e:12:8f,11 (2462 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""04:bf:6d:5e:12:8d"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[e4:f0:42:a5:85:38], frequencySetBy=10}",2019-03-06 20:45
