Epoch(every hour),Managed AP - primary MAC,Band/Frequency,Zone,Pixel,# managed,# >-50 dBm,# >-62 dBm AND <=-50dBm,# >-80 dBm AND <=-62dBm,Average RSSI,Standard Deviation,Min RSSI,Max RSSI,# unmanaged,# >-50 dBm,# >-62 dBm AND <=-50dBm,# >-80 dBm AND <=-62dBm,Average RSSI,Standard Deviation,Min RSSI,Max RSSI
1551848400,04:bf:6d:5e:11:87,2.4,Z_263_311_0,13151_15560_0,0,0,0,0,0.00,0.00,0.00,0.00,21,0,0,13,-75.33,5.32,-84.99,-63.52
1551848400,04:bf:6d:5e:11:87,2437,Z_263_311_0,13151_15560_0,0,0,0,0,0.00,0.00,0.00,0.00,4,0,0,1,-80.35,4.27,-84.99,-73.40
1551848400,04:bf:6d:5e:11:87,5,Z_263_311_0,13151_15560_0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,1,10,-82.30,6.92,-88.99,-61.99
1551848400,04:bf:6d:5e:11:87,5805,Z_263_311_0,13151_15560_0,0,0,0,0,0.00,0.00,0.00,0.00,7,0,0,1,-84.00,2.27,-86.00,-79.00
1551848400,04:bf:6d:5e:11:77,2.4,Z_347_283_0,17369_14167_0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,04:bf:6d:5e:11:77,2462,Z_347_283_0,17369_14167_0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,04:bf:6d:5e:11:77,5,Z_347_283_0,17369_14167_0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,04:bf:6d:5e:11:77,5220,Z_347_283_0,17369_14167_0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,04:bf:6d:5e:11:7f,2.4,Z_347_283_0,17374_14183_0,2,0,0,2,-72.79,3.46,-76.25,-69.33,24,0,0,23,-72.42,5.43,-81.00,-62.00
1551848400,04:bf:6d:5e:11:7f,2437,Z_347_283_0,17374_14183_0,1,0,0,1,-76.25,0.00,-76.25,-76.25,6,0,0,5,-74.68,5.09,-81.00,-66.99
1551848400,04:bf:6d:5e:11:7f,5,Z_347_283_0,17374_14183_0,8,0,0,4,-77.13,7.85,-85.00,-64.00,71,0,6,31,-78.70,7.93,-88.99,-55.99
1551848400,04:bf:6d:5e:11:7f,5785,Z_347_283_0,17374_14183_0,1,0,0,0,-81.99,0.00,-81.99,-81.99,3,0,0,2,-73.00,8.04,-81.00,-62.00
1551848400,04:bf:6d:5e:11:83,2.4,Z_347_283_0,17379_14170_0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,04:bf:6d:5e:11:83,2437,Z_347_283_0,17379_14170_0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,04:bf:6d:5e:11:83,5,Z_347_283_0,17379_14170_0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
