Time,Mac Address,On Demand,UL Speed,DL Speed,RTT,
1551915541712,b8:ec:a3:2f:bd:ff,0,84920,0,1,
1551880850012,b8:ec:a3:2f:bd:fb,0,111000,160200,1,
1551902767442,b8:ec:a3:2f:bd:df,0,62610,92990,1,
1551880593556,b8:ec:a3:2f:bd:8b,0,200630,148240,0,
1551880804417,b8:ec:a3:2f:bd:7f,0,130860,181090,0,
1551880356701,b8:ec:a3:2f:bd:77,0,139220,175850,0,
1551880749142,b8:ec:a3:2f:bd:6f,0,187240,177570,1,
1551880408094,b8:ec:a3:2f:bd:6b,0,208890,161670,1,
1551934025275,b8:ec:a3:2f:bd:67,0,219740,178540,1,
1551887869441,b8:ec:a3:2f:bd:5f,0,172500,181040,0,
1551880416860,b8:ec:a3:2f:bd:57,0,212810,161040,0,
1551882115472,b8:ec:a3:2f:bd:53,0,167910,178810,0,
1551896935745,b8:ec:a3:2f:bd:4b,0,211200,177060,0,
1551917378738,b8:ec:a3:2f:bd:47,0,185840,183650,0,
1551880861836,b8:ec:a3:2f:bd:43,0,204300,164910,0,
1551880562385,b8:ec:a3:2f:bd:3b,0,216310,160470,0,
1551926382513,b8:ec:a3:2f:bd:37,0,148540,161620,0,
1551900123358,b8:ec:a3:2f:bd:33,0,174470,171140,0,
1551880487600,b8:ec:a3:2f:bd:2f,0,71630,91760,2,
1551880570560,b8:ec:a3:2f:bd:27,0,194770,162520,1,
1551880302314,b8:ec:a3:2f:bd:1f,0,60840,93600,0,
1551903106786,b8:ec:a3:2f:bd:1b,0,178390,185760,0,
1551881104584,b8:ec:a3:2f:bd:17,0,211330,184890,0,
1551916450486,a0:e4:cb:fc:b4:ef,0,171960,173240,0,
1551881022309,04:bf:6d:5e:26:8b,0,199680,180600,1,
1551880263237,04:bf:6d:5e:26:7f,0,146020,136680,0,
1551908709312,04:bf:6d:5e:26:7b,0,165520,182860,0,
1551921678766,04:bf:6d:5e:26:73,0,198130,174340,0,
1551880558975,04:bf:6d:5e:26:6f,0,191020,152220,0,
1551908050709,04:bf:6d:5e:26:6b,0,187990,171800,0,
1551943180080,04:bf:6d:5e:26:67,0,178360,133580,1,
1551880474874,04:bf:6d:5e:12:a3,0,227780,190790,0,
1551880925353,04:bf:6d:5e:12:9b,0,146740,160340,1,
1551880707647,04:bf:6d:5e:12:8f,0,147910,175010,0,
1551924403907,04:bf:6d:5e:12:83,0,218000,141090,0,
1551880184962,04:bf:6d:5e:12:7f,0,112130,163900,1,
1551915863770,04:bf:6d:5e:12:73,0,117970,158200,0,
1551924887283,04:bf:6d:5e:12:67,0,135270,161820,0,
1551880577265,04:bf:6d:5e:11:9b,0,213990,181970,1,
1551912559614,04:bf:6d:5e:11:93,0,175830,173040,1,
1551909672286,04:bf:6d:5e:11:8f,0,195060,176560,0,
1551880331719,04:bf:6d:5e:11:87,0,193550,181240,0,
1551931581701,04:bf:6d:5e:11:7f,0,209790,180000,1,
