Client,AP,Band,Date time,staName,alias,txBitrate,rxBitrate,ulthroughput,dlthroughput,channelFreq,txPower,txPer,txPfr,txPrr,signalStrength,time_axis,bssid,ssid,session
14:1a:a3:38:b3:e1,04:bf:6d:5e:11:7b,2.4,07-3-19 10:10,,,72,11,112,24,2437,20,0,0,0,-35,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,
14:1a:a3:38:b3:e1,04:bf:6d:5e:11:7b,2.4,07-3-19 10:18,,,71,6,0,0,2412,20,0,0,0,-37,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,
14:1a:a3:38:b3:e1,04:bf:6d:5e:11:7b,2.4,07-3-19 10:19,,,71,56,28480,345240,2412,20,0,0,0,-45,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
14:1a:a3:38:b3:e1,04:bf:6d:5e:11:7b,2.4,07-3-19 10:20,,,68,47,9536,510320,2412,20,0,0,0,-38,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
14:1a:a3:38:b3:e1,04:bf:6d:5e:11:7b,2.4,07-3-19 10:21,,,70,48,7800,353832,2412,20,0,0,0,-39,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
14:1a:a3:38:b3:e1,04:bf:6d:5e:11:7b,2.4,07-3-19 10:22,,,72,53,6264,259432,2412,20,0,0,0,-38,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
14:1a:a3:38:b3:e1,04:bf:6d:5e:11:7b,2.4,07-3-19 10:23,,,70,41,5192,263872,2412,20,0,0,0,-40,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
14:1a:a3:38:b3:e1,04:bf:6d:5e:11:7b,2.4,07-3-19 10:24,,,72,57,6872,224608,2412,20,0,0,0,-41,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
14:1a:a3:38:b3:e1,04:bf:6d:5e:11:7b,2.4,07-3-19 10:25,,,64,52,6792,295848,2412,20,0,0,0,-35,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
14:1a:a3:38:b3:e1,04:bf:6d:5e:11:7b,2.4,07-3-19 10:26,,,71,50,4544,260344,2412,20,0,0,0,-35,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
14:1a:a3:38:b3:e1,04:bf:6d:5e:11:7b,2.4,07-3-19 10:27,,,70,55,36256,1245224,2412,20,0,0,0,-41,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
