Client,AP,Band,Date time,staName,alias,txBitrate,rxBitrate,ulthroughput,dlthroughput,channelFreq,txPower,txPer,txPfr,txPrr,signalStrength,time_axis,bssid,ssid,session
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,07-3-19 10:18,,,144,144,0,0,2412,20,0,0,0,-30,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,07-3-19 10:19,,,144,138,50352,47048,2412,20,0,0,0,-32,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,07-3-19 10:20,,,144,144,42024,33784,2412,20,0,0,0,-29,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,07-3-19 10:21,,,144,142,36112,33760,2412,20,0,0,0,-29,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,07-3-19 10:22,,,143,144,34304,34648,2412,20,0,0,0,-30,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,07-3-19 10:23,,,144,112,29160,25304,2412,20,0,0,0,-31,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,07-3-19 10:24,,,142,111,23304,17688,2412,20,0,0,0,-30,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,07-3-19 10:25,,,144,144,41112,33800,2412,20,0,0,0,-30,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,07-3-19 10:26,,,144,122,45384,42200,2412,20,0,0,0,-26,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,07-3-19 10:27,,,144,144,60032,64384,2412,20,0,0,0,-29,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,07-3-19 10:28,,,144,140,41608,32888,2412,20,0,0,0,-29,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,07-3-19 10:29,,,144,144,42968,31400,2412,20,0,0,0,-32,1.55197E+12,04:bf:6d:5e:11:78,Synchro_SON,1
