Client,AP,Band,Date time,staName,alias,txBitrate,rxBitrate,ulthroughput,dlthroughput,channelFreq,txPower,txPer,txPfr,txPrr,signalStrength,time_axis,bssid,ssid
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:15:01,,,1,3,0,0,2412,20,0,0,0,-82.0,1553552101301,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:16:31,,,1,3,240,56,2412,20,0,0,0,-78.0,1553552191274,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:17:01,,,1,4,232,64,2412,20,0,0,0,-77.0,1553552221323,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:18:01,,,1,4,256,56,2412,20,0,0,0,-75.0,1553552281253,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:19:01,,,1,2,320,80,2412,20,0,0,0,-77.0,1553552341311,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:21:01,,,88,25,296,96,2412,20,0,0,0,-73.0,1553552461297,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:22:01,,,27,17,256,56,2412,20,0,0,0,-73.0,1553552521253,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:23:01,,,4,29,288,72,2412,20,0,0,0,-72.0,1553552581302,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:24:01,,,1,4,3872,6328,2412,20,0,0,0,-74.0,1553552641242,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:25:01,,,1,4,304,72,2412,20,0,0,0,-74.0,1553552701303,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:26:01,,,1,1,256,56,2412,20,0,0,0,-76.0,1553552761247,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:27:01,,,1,3,240,64,2412,20,0,0,0,-75.0,1553552821290,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:28:01,,,1,3,256,64,2412,20,0,0,0,-74.0,1553552881281,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:29:01,,,1,4,248,56,2412,20,0,0,0,-73.0,1553552941302,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:30:01,,,1,3,200,56,2412,20,0,0,0,-75.0,1553553001252,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:31:01,,,1,3,288,48,2412,20,0,0,0,-79.0,1553553061296,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:32:01,,,1,2,304,64,2412,20,0,0,0,-79.0,1553553121245,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:33:01,,,1,4,368,56,2412,20,0,0,0,-77.0,1553553181337,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:34:01,,,1,3,2600,2872,2412,20,0,0,0,-75.0,1553553241247,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:35:01,,,1,2,336,144,2412,20,0,0,0,-76.0,1553553301301,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:36:01,,,1,2,248,64,2412,20,0,0,0,-77.0,1553553361259,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:37:01,,,1,2,248,48,2412,20,0,0,0,-77.0,1553553421315,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:38:01,,,1,3,232,56,2412,20,0,0,0,-77.0,1553553481248,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:39:01,,,1,2,240,64,2412,20,0,0,0,-75.0,1553553541309,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:40:01,,,2,2,248,56,2412,20,0,0,0,-76.0,1553553601270,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:41:01,,,1,4,8768,13360,2412,20,0,0,0,-78.0,1553553661313,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:42:01,,,1,2,320,56,2412,20,0,0,0,-78.0,1553553721258,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:43:01,,,1,3,1952,1928,2412,20,0,0,0,-80.0,1553553781301,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:44:01,,,1,3,776,304,2412,20,0,0,0,-77.0,1553553841255,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:45:01,,,1,2,1000,272,2412,20,0,0,0,-76.0,1553553901300,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:46:01,,,2,4,224,56,2412,20,0,0,0,-77.0,1553553961251,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:47:01,,,2,2,200,64,2412,20,0,0,0,-78.0,1553554021331,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:48:01,,,4,2,232,56,2412,20,0,0,0,-76.0,1553554081249,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:49:01,,,1,4,296,72,2412,20,0,0,0,-72.0,1553554141296,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:50:01,,,1,4,232,56,2412,20,0,0,0,-75.0,1553554201256,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:51:01,,,1,5,4064,4424,2412,20,0,0,0,-68.0,1553554261313,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:52:01,,,1,5,344,56,2412,20,0,0,0,-71.0,1553554321253,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:53:01,,,1,4,264,72,2412,20,0,0,0,-71.0,1553554381301,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:54:01,,,2,8,248,56,2412,20,0,0,0,-69.0,1553554441250,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,2.4,2019-03-25 18:55:01,,,1,1,728,800,2412,20,0,0,0,-81.0,1553554501312,04:bf:6d:5e:11:78,Synchro_SON
9c:e6:5e:44:f5:5e,04:bf:6d:5e:11:7b,5.0,2019-03-25 18:20:01,,,39,6,0,0,5805,22,0,0,0,-84.0,1553552401246,04:bf:6d:5e:11:79,Synchro_SON
